,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,cluster
0,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,155.008,11
1,0.789,0.706,-4.233,0.0429,0.112,1.71e-05,0.0586,125.911,9
2,0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,91.031,9
3,0.884,0.347,-8.227,0.35,0.015,7e-06,0.0871,75.016,11
4,0.656,0.291,-10.572,0.0293,0.872,0.0,0.114,103.971,4
5,0.585,0.564,-7.063,0.0515,0.0671,0.0,0.135,113.003,17
6,0.772,0.413,-8.193,0.089,0.0361,0.0,0.111,131.965,0
7,0.608,0.798,-5.092,0.0432,0.0736,0.0,0.156,92.943,3
8,0.69,0.521,-8.492,0.339,0.324,0.0,0.0534,100.028,16
9,0.687,0.745,-4.432,0.0379,0.178,1.59e-05,0.111,129.966,9
10,0.491,0.956,-1.538,0.392,0.0295,0.0,0.46,173.585,8
11,0.508,0.72,-5.908,0.0628,0.272,0.0,0.0563,79.983,17
12,0.702,0.741,-5.33,0.0427,0.00544,0.0,0.337,124.925,12
13,0.625,0.414,-8.7,0.0369,0.294,0.0,0.151,130.088,0
14,0.536,0.768,-5.948,0.0347,0.00433,0.0,0.114,77.217,17
15,0.661,0.725,-4.859,0.0563,0.0253,0.0,0.123,119.927,9
16,0.712,0.862,-4.612,0.0378,0.0525,0.0,0.093,95.051,9
17,0.545,0.545,-7.362,0.107,0.667,5.48e-05,0.417,159.94,15
18,0.72,0.748,-4.468,0.0464,0.0124,0.0,0.312,128.008,12
19,0.463,0.642,-4.474,0.34,0.314,0.0,0.0686,83.389,13
20,0.662,0.741,-5.406,0.0334,0.00165,0.0303,0.114,131.0,1
21,0.756,0.697,-6.377,0.0401,0.182,0.0,0.333,94.996,12
22,0.713,0.801,-5.781,0.0483,0.00628,1.5e-06,0.825,153.984,5
23,0.393,0.858,-2.868,0.0729,0.00359,0.0,0.102,176.042,14
24,0.853,0.693,-6.87,0.275,0.0239,0.0,0.11,95.967,11
25,0.776,0.736,-4.612,0.247,0.0802,0.0,0.159,147.946,11
26,0.622,0.961,-3.198,0.154,0.00523,0.0,0.0854,114.452,3
27,0.718,0.808,-7.652,0.0473,0.0299,0.00414,0.225,100.033,12
28,0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,119.964,15
29,0.732,0.396,-9.348,0.0286,0.0841,3.58e-05,0.105,90.024,0
30,0.795,0.178,-11.991,0.0574,0.607,0.0,0.623,93.982,4
31,0.51,0.846,-4.595,0.0461,0.0101,0.0,0.208,139.927,3
32,0.655,0.782,-4.789,0.185,0.375,0.0,0.317,79.427,13
33,0.816,0.538,-6.354,0.0617,0.0142,0.000496,0.099,97.054,0
34,0.695,0.575,-6.334,0.116,0.198,0.0,0.0614,163.929,1
35,0.714,0.697,-7.887,0.032,0.0197,2e-06,0.0697,122.145,9
36,0.502,0.168,-14.061,0.0486,0.885,0.0,0.111,112.881,4
37,0.809,0.547,-7.305,0.0614,0.452,0.0,0.054,94.992,15
38,0.558,0.451,-6.163,0.0388,0.292,0.0,0.101,150.008,1
39,0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,99.968,17
40,0.571,0.307,-10.958,0.0499,0.649,0.0,0.178,83.72,4
41,0.631,0.953,-3.739,0.0343,0.0241,0.0155,0.108,141.99,3
42,0.888,0.632,-3.872,0.219,0.19,0.0,0.101,91.979,11
43,0.839,0.81,-5.274,0.0568,0.501,0.0,0.117,129.014,15
44,0.851,0.806,-4.62,0.0787,0.118,1.64e-06,0.121,118.999,9
45,0.765,0.356,-5.556,0.195,0.223,0.0,0.0963,96.991,0
46,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,139.994,1
47,0.345,0.941,-9.918,0.0466,3.84e-05,0.633,0.0511,179.626,6
48,0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,154.961,7
49,0.262,0.606,-6.646,0.0484,0.247,0.0,0.125,189.857,2
50,0.825,0.832,-5.853,0.0403,0.00587,0.000789,0.114,122.021,9
51,0.754,0.802,-6.424,0.0551,0.0349,0.0,0.335,122.026,12
52,0.766,0.283,-10.33,0.0846,0.111,0.0172,0.115,97.04,0
53,0.753,0.68,-7.092,0.0349,0.326,4.15e-05,0.423,105.977,12
54,0.644,0.549,-5.415,0.0285,0.0209,8.85e-06,0.134,90.04,17
55,0.699,0.529,-7.548,0.0487,0.0317,3.59e-05,0.285,119.987,0
56,0.697,0.467,-7.536,0.0715,0.248,0.0,0.0941,82.082,0
57,0.706,0.46,-9.061,0.0296,0.847,0.00793,0.106,102.98,15
58,0.662,0.714,-5.68,0.121,0.312,0.0,0.179,147.997,1
59,0.579,0.736,-3.863,0.0527,0.31,0.0,0.198,127.999,3
60,0.93,0.383,-9.34,0.409,0.0896,0.0,0.119,125.967,11
61,0.726,0.431,-8.765,0.135,0.731,0.0,0.696,144.026,5
62,0.77,0.347,-10.265,0.0623,0.0511,2.57e-06,0.087,84.957,0
63,0.805,0.33,-8.712,0.1,0.22,0.0,0.105,121.97,0
64,0.447,0.848,-6.175,0.222,0.033,7.46e-05,0.65,172.253,5
65,0.537,0.746,-5.507,0.15,0.0236,1.01e-06,0.156,170.062,14
66,0.785,0.903,-4.184,0.21,0.258,0.0,0.169,139.98,9
67,0.753,0.657,-3.061,0.0449,0.171,0.0,0.112,107.01,9
68,0.81,0.353,-9.931,0.31,0.588,0.0,0.102,88.031,16
69,0.461,0.834,-4.868,0.0989,0.0232,1.14e-05,0.14,135.007,3
70,0.317,0.172,-10.636,0.0326,0.907,0.000383,0.105,65.18,4
71,0.788,0.43,-7.757,0.0419,0.537,0.00261,0.0936,121.996,15
72,0.56,0.595,-4.53,0.0274,0.199,6.47e-05,0.132,104.011,17
73,0.935,0.454,-7.509,0.375,0.0194,0.0,0.0824,133.073,11
74,0.815,0.518,-6.594,0.0897,0.223,0.0,0.104,151.891,1
75,0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,104.988,9
76,0.831,0.499,-8.442,0.114,0.269,0.0,0.3,97.956,0
77,0.951,0.6,-4.675,0.0685,0.106,0.0,0.0712,125.04,9
78,0.706,0.728,-3.602,0.0852,0.123,0.0,0.185,121.017,9
79,0.671,0.771,-4.821,0.0316,0.00492,7.28e-06,0.354,90.003,12
80,0.777,0.414,-7.44,0.0946,0.00421,2.73e-05,0.0724,100.002,0
81,0.676,0.771,-3.675,0.0483,0.0237,7e-06,0.102,99.048,9
