,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,id
0,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,155.008,2xLMifQCjDGFmkHkpNLD9h
1,0.789,0.706,-4.233,0.0429,0.112,1.71e-05,0.0586,125.911,2ENexcMEMsYk0rVJigVD3i
2,0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,91.031,5vlEg2fT4cFWAqU5QptIpQ
3,0.884,0.347,-8.227,0.35,0.015,7e-06,0.0871,75.016,5eqK0tbzUPo2SoeZsov04s
4,0.656,0.291,-10.572,0.0293,0.872,0.0,0.114,103.971,4RCWB3V8V0dignt99LZ8vH
5,0.585,0.564,-7.063,0.0515,0.0671,0.0,0.135,113.003,7fBv7CLKzipRk6EC6TWHOB
6,0.772,0.413,-8.193,0.089,0.0361,0.0,0.111,131.965,01Lr5YepbgjXAWR9iOEyH1
7,0.608,0.798,-5.092,0.0432,0.0736,0.0,0.156,92.943,6Bjtr3tPdto5nyuLYf61sN
8,0.69,0.521,-8.492,0.339,0.324,0.0,0.0534,100.028,68Dni7IE4VyPkTOH9mRWHr
9,0.687,0.745,-4.432,0.0379,0.178,1.59e-05,0.111,129.966,1GEBsLDvJGw7kviySRI6GX
10,0.491,0.956,-1.538,0.392,0.0295,0.0,0.46,173.585,2igwFfvr1OAGX9SKDCPBwO
11,0.508,0.72,-5.908,0.0628,0.272,0.0,0.0563,79.983,3ERa3mEeOnrh2Mc47qM6T1
12,0.702,0.741,-5.33,0.0427,0.00544,0.0,0.337,124.925,3XYRV7ZSHqIRDG87DKTtry
13,0.625,0.414,-8.7,0.0369,0.294,0.0,0.151,130.088,0IktbUcnAGrvD03AWnz3Q8
14,0.536,0.768,-5.948,0.0347,0.00433,0.0,0.114,77.217,2Bs4jQEGMycglOfWPBqrVG
15,0.661,0.725,-4.859,0.0563,0.0253,0.0,0.123,119.927,18W92Zm1KjLCbUIszOhpkD
16,0.712,0.862,-4.612,0.0378,0.0525,0.0,0.093,95.051,6ECp64rv50XVz93WvxXMGF
17,0.545,0.545,-7.362,0.107,0.667,5.48e-05,0.417,159.94,3xKsf9qdS1CyvXSMEid6g8
18,0.72,0.748,-4.468,0.0464,0.0124,0.0,0.312,128.008,64QftS2rGzpynevjuCsJXW
19,0.463,0.642,-4.474,0.34,0.314,0.0,0.0686,83.389,59nOXPmaKlBfGMDeOVGrIK
20,0.662,0.741,-5.406,0.0334,0.00165,0.0303,0.114,131.0,3xrn9i8zhNZsTtcoWgQEAd
21,0.756,0.697,-6.377,0.0401,0.182,0.0,0.333,94.996,2DB4DdfCFMw1iaR6JaR03a
