,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.378,0.817,8,-3.071,0,0.0911,0.151,0.0,0.149,0.257,121.079,audio_features,1pfwOQKJsRRBf6NdYO4Qog,spotify:track:1pfwOQKJsRRBf6NdYO4Qog,https://api.spotify.com/v1/tracks/1pfwOQKJsRRBf6NdYO4Qog,https://api.spotify.com/v1/audio-analysis/1pfwOQKJsRRBf6NdYO4Qog,256163,4
1,0.741,0.761,4,-3.871,0,0.0512,0.235,0.0,0.119,0.217,81.546,audio_features,7o1RFIJYqa7tsbZ79LRR3n,spotify:track:7o1RFIJYqa7tsbZ79LRR3n,https://api.spotify.com/v1/tracks/7o1RFIJYqa7tsbZ79LRR3n,https://api.spotify.com/v1/audio-analysis/7o1RFIJYqa7tsbZ79LRR3n,149576,4
2,0.727,0.599,1,-6.941,1,0.327,0.317,0.0,0.219,0.386,167.909,audio_features,0Y0TOsE1q11qgbi7c5WZsG,spotify:track:0Y0TOsE1q11qgbi7c5WZsG,https://api.spotify.com/v1/tracks/0Y0TOsE1q11qgbi7c5WZsG,https://api.spotify.com/v1/audio-analysis/0Y0TOsE1q11qgbi7c5WZsG,197133,3
3,0.908,0.587,9,-7.339,1,0.103,0.000357,4.87e-05,0.0779,0.387,150.008,audio_features,2DlQcKIzEdIKu3adk0xVLD,spotify:track:2DlQcKIzEdIKu3adk0xVLD,https://api.spotify.com/v1/tracks/2DlQcKIzEdIKu3adk0xVLD,https://api.spotify.com/v1/audio-analysis/2DlQcKIzEdIKu3adk0xVLD,177640,4
4,0.625,0.765,6,-5.816,1,0.0371,0.195,0.0,0.376,0.46,123.021,audio_features,6dE0boljrzMR8ittAI2sxk,spotify:track:6dE0boljrzMR8ittAI2sxk,https://api.spotify.com/v1/tracks/6dE0boljrzMR8ittAI2sxk,https://api.spotify.com/v1/audio-analysis/6dE0boljrzMR8ittAI2sxk,220320,4
5,0.822,0.504,7,-7.651,1,0.2,0.0403,0.00121,0.111,0.571,73.015,audio_features,2APp7T4cMxoPSTNg2zMPHV,spotify:track:2APp7T4cMxoPSTNg2zMPHV,https://api.spotify.com/v1/tracks/2APp7T4cMxoPSTNg2zMPHV,https://api.spotify.com/v1/audio-analysis/2APp7T4cMxoPSTNg2zMPHV,210400,4
6,0.794,0.496,2,-7.486,1,0.436,0.141,0.0,0.292,0.249,75.018,audio_features,0DOgAY5IkChtKvKCxLjiQB,spotify:track:0DOgAY5IkChtKvKCxLjiQB,https://api.spotify.com/v1/tracks/0DOgAY5IkChtKvKCxLjiQB,https://api.spotify.com/v1/audio-analysis/0DOgAY5IkChtKvKCxLjiQB,255827,4
7,0.889,0.626,1,-4.666,1,0.347,0.187,0.0,0.218,0.193,91.196,audio_features,40LaNujg5lvImKt0N4xDge,spotify:track:40LaNujg5lvImKt0N4xDge,https://api.spotify.com/v1/tracks/40LaNujg5lvImKt0N4xDge,https://api.spotify.com/v1/audio-analysis/40LaNujg5lvImKt0N4xDge,142582,4
8,0.691,0.771,10,-5.17,0,0.164,0.0511,0.0,0.135,0.673,78.463,audio_features,2HBtd9MYDd2xDVu8Zc6pwt,spotify:track:2HBtd9MYDd2xDVu8Zc6pwt,https://api.spotify.com/v1/tracks/2HBtd9MYDd2xDVu8Zc6pwt,https://api.spotify.com/v1/audio-analysis/2HBtd9MYDd2xDVu8Zc6pwt,157643,4
9,0.793,0.631,11,-6.109,0,0.0998,0.0406,0.000478,0.207,0.231,119.971,audio_features,01A7PEPSnmtixFPfB2UTal,spotify:track:01A7PEPSnmtixFPfB2UTal,https://api.spotify.com/v1/tracks/01A7PEPSnmtixFPfB2UTal,https://api.spotify.com/v1/audio-analysis/01A7PEPSnmtixFPfB2UTal,226693,4
