,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024,audio_features,07nH4ifBxUB4lZcsf44Brn,spotify:track:07nH4ifBxUB4lZcsf44Brn,https://api.spotify.com/v1/tracks/07nH4ifBxUB4lZcsf44Brn,https://api.spotify.com/v1/audio-analysis/07nH4ifBxUB4lZcsf44Brn,212960,4
1,0.811,0.879,9,-3.724,1,0.0514,0.0476,1.91e-06,0.109,0.962,134.064,audio_features,0ifSeVGUr7py5GggttDhXw,spotify:track:0ifSeVGUr7py5GggttDhXw,https://api.spotify.com/v1/tracks/0ifSeVGUr7py5GggttDhXw,https://api.spotify.com/v1/audio-analysis/0ifSeVGUr7py5GggttDhXw,188754,4
2,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,audio_features,18n3RlT0UNcy2yHImHy8IT,spotify:track:18n3RlT0UNcy2yHImHy8IT,https://api.spotify.com/v1/tracks/18n3RlT0UNcy2yHImHy8IT,https://api.spotify.com/v1/audio-analysis/18n3RlT0UNcy2yHImHy8IT,224840,4
3,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,audio_features,12KUFSHFgT0XCoiSlvdQi4,spotify:track:12KUFSHFgT0XCoiSlvdQi4,https://api.spotify.com/v1/tracks/12KUFSHFgT0XCoiSlvdQi4,https://api.spotify.com/v1/audio-analysis/12KUFSHFgT0XCoiSlvdQi4,214840,4
4,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028,audio_features,0puf9yIluy9W0vpMEUoAnN,spotify:track:0puf9yIluy9W0vpMEUoAnN,https://api.spotify.com/v1/tracks/0puf9yIluy9W0vpMEUoAnN,https://api.spotify.com/v1/audio-analysis/0puf9yIluy9W0vpMEUoAnN,199387,4
5,0.76,0.886,9,-5.356,0,0.0258,0.0219,7.43e-06,0.623,0.78,123.002,audio_features,7icHQ0UDRFe98tfvI0yyhL,spotify:track:7icHQ0UDRFe98tfvI0yyhL,https://api.spotify.com/v1/tracks/7icHQ0UDRFe98tfvI0yyhL,https://api.spotify.com/v1/audio-analysis/7icHQ0UDRFe98tfvI0yyhL,189399,4
6,0.743,0.72,11,-3.753,1,0.124,0.192,0.000386,0.109,0.519,163.99,audio_features,71vsEyBd4X1D5BUmLdFSVH,spotify:track:71vsEyBd4X1D5BUmLdFSVH,https://api.spotify.com/v1/tracks/71vsEyBd4X1D5BUmLdFSVH,https://api.spotify.com/v1/audio-analysis/71vsEyBd4X1D5BUmLdFSVH,209423,4
7,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,audio_features,5Nm9ERjJZ5oyfXZTECKmRt,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/tracks/5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/audio-analysis/5Nm9ERjJZ5oyfXZTECKmRt,172724,4
8,0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059,0.879,120.032,audio_features,4gbVRS8gloEluzf0GzDOFc,spotify:track:4gbVRS8gloEluzf0GzDOFc,https://api.spotify.com/v1/tracks/4gbVRS8gloEluzf0GzDOFc,https://api.spotify.com/v1/audio-analysis/4gbVRS8gloEluzf0GzDOFc,189960,4
9,0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868,audio_features,2bL2gyO6kBdLkNSkxXNh6x,spotify:track:2bL2gyO6kBdLkNSkxXNh6x,https://api.spotify.com/v1/tracks/2bL2gyO6kBdLkNSkxXNh6x,https://api.spotify.com/v1/audio-analysis/2bL2gyO6kBdLkNSkxXNh6x,231013,4
